id,title,genres,overview,poster,backdrop,rating,year,runtime,language,trailer_url
1048291,Live,Thriller,"Anna, a young woman, mistakenly detained during a raid, becomes a victim of fake news. Amala, a doctor, who is facing cyber harassment, stands with her in the fight against the media house responsible for the fake news",https://image.tmdb.org/t/p/w500/lqkSwvAEiLj4nf8cDkkVptXTMIV.jpg,https://image.tmdb.org/t/p/original/izffGHsn2FcQtV70m6sygwwA9vQ.jpg,4.5,2023,124 min,ml,
1290954,Rekhachithram,"Mystery, Thriller, Crime","Having recently served a suspension for gambling online while on duty, Circle Inspector Vivek Gopinath rejoins the police force and is looking to reclaim his lost honour. Awaiting him is a 40-year-old, unresolved murder mystery with a faceless victim.",https://image.tmdb.org/t/p/w500/ulIAyiSVQZL1Ov6K2Tjf6wPlzFi.jpg,https://image.tmdb.org/t/p/original/97U7d3GwOnDKAKVVbLEq65XyKP3.jpg,6.8,2025,139 min,ml,
1561144,Madhuvidhu,"Family, Comedy, Drama","When Amrutharaj, a groom from an all-male household repeatedly rejected by brides' families, falls in love with Sneha Marcose, their journey toward marriage ignites a chain of hilarious chaos inside his unruly home.",https://image.tmdb.org/t/p/w500/jVSnpXklfxi3FchGqweRMvrC8Gd.jpg,,7.0,2026,125 min,ml,
1404380,Saptha Kandam,"Drama, Romance","In a remote resort, newlyweds Apsara and her husband, Laalu, face a dangerous bet with the wealthy moneylender, Madhavan, who seeks to claim Apsara. Over the course of seven days, Madhavan attempts to seduce her through discussions of an ancient book on lust. Meanwhile, Apsara, determined to remain faithful, battles his advances. The outcome of the bet hinges on her ability to resist his manipulation and maintain her resolve.",https://image.tmdb.org/t/p/w500/1i35IfvW8bdoOuBF7GWkXBDEFI4.jpg,https://image.tmdb.org/t/p/original/2afZgLkzFb8I0cC4n4xNWl2g3dN.jpg,0.0,2024,95 min,ml,https://www.youtube.com/watch?v=Df26mUwzqII
927547,All We Imagine as Light,"Drama, Romance","In Mumbai, Nurse Prabha's routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend. A trip to a beach town allows them to find a space for their desires to manifest.",https://image.tmdb.org/t/p/w500/ruImrzB4POsrgwCMozmOBV67zs5.jpg,https://image.tmdb.org/t/p/original/xrIicBg0Ac4oQ6cwUPKJxwtqhOQ.jpg,6.831,2024,118 min,ml,https://www.youtube.com/watch?v=Yf1jAx6VhZ8
1070186,Eko,"Drama, Mystery","In the misty hills of Kaattukunnu, an aging woman and her servant boy struggle to survive the ghosts of the past, as the hunt for Kuriachan — a legendary dog breeder and outlaw — blurs the line between myth, memory, and vengeance, revealing that even in absence, he still rules the hills.",https://image.tmdb.org/t/p/w500/tXdFEmtqLm8tewIErDJgnbTS9qs.jpg,https://image.tmdb.org/t/p/original/1NegG8bZRn3Fc1wluAbMeR19rym.jpg,7.479,2025,127 min,ml,
1321820,Bharathanatyam,"Comedy, Drama",A man makes a startling discovery following his father's sudden hospitalization and attempts to prevent his family's secret from reaching the local townsfolk.,https://image.tmdb.org/t/p/w500/roEHh97z7KaigdoWWk3S6SJc0UK.jpg,https://image.tmdb.org/t/p/original/2nKAQpPZsjhYwT1qOYarpggOVXx.jpg,7.929,2024,121 min,ml,
972897,Heaven,"Thriller, Crime, Mystery","Circle Inspector of Police, Peter Kurishinkal is a stoic and taciturn officer, who prefers brain over brawn to solve his cases. His world is brought upside down when he is assigned a sensational case of a homicide.",https://image.tmdb.org/t/p/w500/7R95cC7pjHLeDmQ0tX8gILX9dty.jpg,https://image.tmdb.org/t/p/original/vHNaN1pzCYxjFa7V4Jf1569S0tj.jpg,7.0,2022,130 min,ml,
1399356,Nellikkampoyil Night Riders,"Horror, Comedy","Nellikampoil, a village adjacent to Forest, is very common. Many strange events are taking place in this land full of many myths. A figure with the legs of a horse and the body of a man is filling the land with fear by hanging a chicken head in the houses and hiding it in darkness and fear.",https://image.tmdb.org/t/p/w500/fni5RRvoJ4PIQnqW3vICXamB1Uw.jpg,https://image.tmdb.org/t/p/original/wQmUeYbOeHU5kPbQnmqv3towQ6l.jpg,5.4,2025,122 min,ml,
1196995,Bha. Bha. Ba.,"Comedy, Action","After the Chief Minister of Kerala is kidnapped, a determined investigator is brought in to track down the mysterious abductor, uncovering hidden motives and secrets behind the crime.",https://image.tmdb.org/t/p/w500/fMDt3o7CVXDc84WIbOskya8XkSN.jpg,https://image.tmdb.org/t/p/original/fEaR0uvRZluIEEPtDuaL7CkYsCJ.jpg,3.75,2025,150 min,ml,
1473354,Sarvam Maya,"Comedy, Family",A man who loses his belief in God meets the spirit of a young woman unable to remember what happened to her.,https://image.tmdb.org/t/p/w500/ri3Lpt8OkvixST0EIsBDZJmB5l.jpg,https://image.tmdb.org/t/p/original/6Zn4PaLwLHFJ2bw7s6B10fHiuAD.jpg,7.7,2025,147 min,ml,https://www.youtube.com/watch?v=xXvE6_8lOoM
967353,Qalb,"Romance, Drama, Family",Qalb tells the story of two young hearts falling in love. The ride takes you through the 7 stages of love. The title song 'Qalbee' describes the spiritual elements of love. Like faith there is no compulsion in love either.,https://image.tmdb.org/t/p/w500/a49keeFVFV8LN3H7spGrVWuofTn.jpg,https://image.tmdb.org/t/p/original/2hWGEtAixfrG8G85nDMB51lENnb.jpg,5.1,2024,147 min,ml,
1065834,Kattalan,"Action, Thriller",,https://image.tmdb.org/t/p/w500/53FATyQirV8BuBcrsQMGPvGKgCu.jpg,,0.0,2026,N/A,ml,
472221,The Goat Life,"Drama, Adventure","Indian migrant worker Najeeb Muhammad goes to Saudi Arabia to earn money. However, in a twist of fate, he finds himself living a slave-like existence, herding goats in the middle of the desert.",https://image.tmdb.org/t/p/w500/vwRkVhvJuAFz4i8udXMNkcJCztc.jpg,https://image.tmdb.org/t/p/original/u7GXKY7EUTBS4kQO6aXqDNXWgpd.jpg,7.221,2024,173 min,ml,https://www.youtube.com/watch?v=qvsiJKdDxPs
1281091,Officer on Duty,"Crime, Thriller","A demoted police inspector investigates a counterfeit jewelry racket, becoming entangled in a dangerous web of crime that puts his life at stake.",https://image.tmdb.org/t/p/w500/ucwirgaK4v9ylQyDkwoXJtDIlf7.jpg,https://image.tmdb.org/t/p/original/wBuDEg4hA6dtF96Wiqx0E26HhNd.jpg,6.8,2025,134 min,ml,
